rate,location,rest_type,dish_liked,cuisines,cost_for_2
4.3/5,Whitefield,Food Court,Chicken Boneless Biryani Hyderabadi Dum Biryani Raita Mutton Biryani Prawn Biryani Vegetable Biryani Hyderabadi Chicken Biryani,Biryani,450
3.7/5,Brookefield,Quick Bites,Sabudana Vada Kulfi Schezwan Vada Pav Ginger Tea,Street Food,200
3.9/5,Whitefield,Casual Dining Cafe,Burgers Steak Baconator Burger Chicken Bbq Wings Cream Soup Sandwiches Pasta,Steak Continental American Italian Salad Cafe,900
3.8/5,Whitefield,Casual Dining,Biryani Thali Lemon Tea Lassi Coffee Masala Paneer Roti,Andhra South Indian North Indian Biryani,550
3.4/5,ITPL Main Road Whitefield,Quick Bites Food Court,Sandwich Sandwiches Salad Salads Chicken Teriyaki Sub,Healthy Food Sandwich Salad,500
3.4/5,Varthur Main Road Whitefield,Quick Bites,Rajma Dal Makhani Paneer Thali,North Indian,300
3.0/5,Brookefield,Quick Bites,Burgers Mcmuffin French Fries Waffles Pancakes Mc Veggie Coffee,Burger Fast Food,500
3.9/5,Brookefield,Beverage Shop Quick Bites,Poha Samosa Ginger Chai Ginger Tea Banana Cake Cake Rusk Coffee,Fast Food Beverages,250
4.2/5,Whitefield,Bakery Cafe,Pizza Cheesecake Pasta Risotto Chicken Burger Sandwich Hot Chocolate,Bakery Cafe Italian Desserts,600
3.8/5,Whitefield,Casual Dining,Ramen Noodles Salmon Sushi,Korean Sushi,900
4.1/5,Brookefield,Casual Dining Bar,Pizza Fish Galauti Kebab Jalapeno Cheeseballs Lamb Long Island Iced Tea Cocktails,North Indian Continental Asian Pizza,1000
4.4/5,Whitefield,Microbrewery Pub,Beer Margarita Long Island Iced Tea Cocktails Pizza Churros Mocktails,Continental Mediterranean South Indian North Indian Asian,1700
4.1/5,Whitefield,Bar,Cocktails Pasta Fish,Continental North Indian Finger Food,1200
4.8/5,Whitefield,Casual Dining,Kulfi Lunch Buffet Murgh Lababdar Kadhai Paneer Dahi Kebab Lassi Butter Chicken,North Indian,2000
3.8/5,Whitefield,Quick Bites,Rolls Chicken Tikka Roll Chicken Bhuna Roll Biryani Lassi Paneer Bhurji Roll Beda Roti,Fast Food Rolls,400
4.3/5,Whitefield,Quick Bites Beverage Shop,Healthy Breakfast Kadhi Sprout Salad Rajma Chawal Salads Onion Paratha Dal Makhani,North Indian Healthy Food Beverages,400
2.9/5,Whitefield,Food Court Quick Bites,Chocolate Momos Fried Momo,Tibetan Momos,400
4.6/5,Whitefield,Casual Dining,Tex Mex Burgers Chaap Cocktails Chaat Mushroom Soup Pork Ribs,American Tex-Mex Burger BBQ Mexican,1400
4.0/5,Brookefield,Bakery,Burgers Salads Pizza Sandwiches Pesto Pasta Pasta Alfredo Chocolate Brownie Bowl,Bakery,450
4.0/5,Whitefield,Dessert Parlor,Donut Filter Coffee Chocolate Doughnut Custard,Desserts Beverages,300
3.2/5,Whitefield,Casual Dining,Hyderabadi Biryani Mutton Biryani,North Indian Chinese Biryani,600
3.5/5,ITPL Main Road Whitefield,Delivery,Chicken Biryani Aloo Paratha,Biryani North Indian,400
4.0/5,Brookefield,Cafe,Burgers Pasta Noodles Shawarma Tea Cappuccino Coffee,Burger Juices Beverages Fast Food Cafe Chinese Coffee,600
4.3/5,Whitefield,Dessert Parlor Cafe,Burgers Paan Ice Cream Butter Chicken Pizza Peri Peri Chicken Burger Caramel Custard Cheesecake Hot Chocolate,Ice Cream Cafe Pizza Burger Desserts Beverages,500
3.6/5,Whitefield,Cafe,Sandwiches Brownie,Cafe,650
3.9/5,Whitefield,Quick Bites,Sandwich Paratha Poha Sandwiches Idli Vada Tea Roti,North Indian Chinese,300
3.9/5,Whitefield,Delivery,Sandwiches Rice Bowl Chicken Grill,Healthy Food Beverages,600
3.8/5,ITPL Main Road Whitefield,Food Court,Chicken Shashlik Pasta Veg Sizzler,Continental Fast Food,500
4.0/5,Whitefield,Dessert Parlor,Vanilla Ice Cream Hot Chocolate Fudge Chocolate Icecreams,Desserts Ice Cream,300
3.8/5,Marathahalli,Quick Bites,Paratha Thali,Healthy Food South Indian Fast Food North Indian Beverages,500
4.1/5,Whitefield,Beverage Shop,Waffles Fruit Tea Pearl Milk Tea,Beverages Bubble Tea Tea,300
3.1/5,Whitefield,Mess,Chicken Biryani,Andhra Biryani South Indian,300
4.2/5,Whitefield,Food Court,Donut Coffee Cup Cake Choco Bomb Waffles Chocolate Decadence Melted Chocolate,Bakery Desserts Beverages,450
4.4/5,Whitefield,Casual Dining,Noodles Dumplings Jumbo Prawns Nasi Goreng Papaya Salad Sushi Momos,Malaysian Thai Singaporean Asian Chinese Momos,1000
3.5/5,Brookefield,Casual Dining,Dal Makhani Butter Chicken Tandoori Momos,Mughlai North Indian Biryani,850
4.7/5,Whitefield,Casual Dining,Ramen Sushi Platter Sushi Bar Pork Dumplings Maki Roll Japanese Green Tea Thai Red Curry,Sushi Japanese Chinese Thai,2000
3.9/5,Whitefield,Delivery,Paneer Pasanda Panneer Butter Masala Murgh Platter Veg Platter Jeera Rice,North Indian Chinese,300
4.4/5,Whitefield,Dessert Parlor Cafe,Cheesecake Chocolate Sundae Gooey Chocolate Cake Cup Cake Coffee Rainbow Cake Hot Chocolate,Desserts Cafe Continental,700
3.3/5,Whitefield,Quick Bites,Potato Fries Chicken Curry,Fast Food,300
4.0/5,Whitefield,Casual Dining,French Toast Pasta Egg Pav Bhaji Khau Suey Shakshouka Chicken Burger Omelette,Continental American,750
3.7/5,Whitefield,Delivery,Paneer Manchurian,North Indian Biryani,500
2.9/5,Whitefield,Food Court,Thick Shakes Rasmalai Milk Shake,Beverages Desserts Ice Cream,400
3.1/5,Whitefield,Quick Bites,Chicken Biryani,North Indian,400
3.6/5,Brookefield,Quick Bites,Burgers,Fast Food Burger,300
4.1/5,Whitefield,Beverage Shop Quick Bites,Masala Chai Sandwiches Samosa Masala Tea Ice Tea Bombay Sandwich Chicken Mayo Sandwich,Beverages Fast Food Tea,250
3.7/5,Whitefield,Quick Bites,Biryani Fish Mughlai Paratha,Bengali North Indian Chinese Biryani,400
4.1/5,Brookefield,Cafe,Tea Chai Nachos Poha Veg Sandwich Bombay Sandwich Sandwiches,Cafe Street Food,300
3.8/5,ITPL Main Road Whitefield,Casual Dining,Vegetable Biryani Dum Biryani Kheer,Biryani Andhra,500
3.9/5,Whitefield,Food Court,Chaat Raj Kachori,North Indian,400
4.2/5,Whitefield,Casual Dining,Pizza Pasta Mocktails Tiramisu Salads Cocktails Wine,Italian Salad,1500
4.1/5,ITPL Main Road Whitefield,Bakery Dessert Parlor,Brownie Blueberry Cheesecake Chocolate Truffle Blueberry Shake Tiramisu German Chocolate Thick Shakes,Bakery Desserts,300
4.0/5,Brookefield,Quick Bites,Burgers Hot Dog Mint Mojito French Fries Bbq Burger Lime Mojito Grilled Burger,Cafe Burger Fast Food,400
3.7/5,Whitefield,Casual Dining,Chicken Tikka Biryani Hyderabadi Chicken Dum Biryani Raita Paneer Tikka Sandwich Chicken Malai Tikka Grilled Mushrooms,North Indian Biryani,700
3.0/5,ITPL Main Road Whitefield,Quick Bites,Pizza,Pizza Fast Food,400
3.4/5,Whitefield,Food Court,Biryani Chilli Chicken,Andhra South Indian Hyderabadi,500
4.2/5,Whitefield,Casual Dining,Paan Shot Butter Chicken Paratha Veg Platter Dal Makhani Aam Panna Multani Paneer Tikka,North Indian,1500
3.0/5,Whitefield,Quick Bites,Laccha Paratha Butter Naan Roti Vegetable Biryani,North Indian Biryani Chinese,400
4.3/5,Whitefield,Casual Dining Cafe,Mocktails Burgers Pavbhaji Pizza Paneer Tikka Sandwiches Pasta Salad,North Indian Continental Italian Cafe Pizza Finger Food,1400
3.8/5,Brookefield,Beverage Shop,Cake Jar,Beverages Desserts,400
3.1/5,Whitefield,Quick Bites,Chaat Burgers,North Indian Fast Food,500
3.7/5,Whitefield,Delivery,Salads Butter Chicken Roll Chocolate Cake Dal Makhani Brownie Paratha Pasta,North Indian Continental,500
4.4/5,Whitefield,Casual Dining Bar,California Roll Cocktails Mocktails Maki Roll Noodles Veg Sushi Momos,Asian Japanese Vietnamese Korean Chinese Thai,1800
3.7/5,Whitefield,Dessert Parlor,Tender Coconut Ice Cream,Ice Cream Desserts,450
3.6/5,Brookefield,Quick Bites,French Fries Peri Peri Fries,Fast Food,400
4.1/5,Whitefield,Pub,Cocktails Chicken Kebab Murgh Ghee Roast Virgin Mojito Honey Chilli Fries Ice Tea Shawarma,American North Indian Chinese Finger Food Momos,1500
4.2/5,Whitefield,Casual Dining Microbrewery,Beer Tandoori Chicken Dahi Kebab Paneer Tikka Dal Makhani Mocktails Butter Chicken,North Indian,1600
3.9/5,Whitefield,Pub Casual Dining,Pizza Beer Cocktails Nachos Pasta Moo Burger Noodles,Finger Food American Continental Burger Pizza,1500
4.7/5,Whitefield,Casual Dining,Mocktails Fish Biryani Dal Makhani Wine Risotto Chaat,Modern Indian,1500
4.0/5,Brookefield,Quick Bites,Veggie Pizza French Fries,Pizza Italian Desserts,900
4.2/5,Whitefield,Quick Bites,Momos Chocolate Bar Fish Sweet Potato Fries Dumplings Rice Noodles Paneer Bao,Asian Chinese Momos Fast Food Indonesian Korean,500
3.8/5,Whitefield,Quick Bites,Non Veg Thali Egg Maggi,North Indian Chinese,200
4.1/5,Brookefield,Casual Dining,Gajar Ka Halwa Tandoori Chicken Gulab Jamun Mutton Seekh Kebab Al Faham Chicken Mutton Biryani Fish,Arabian Lebanese Mughlai North Indian BBQ Chinese,600
3.6/5,Whitefield,Delivery,Burgers Pasta Chicken Sandwich Chocolate Cake,Continental,500
3.2/5,Whitefield,Quick Bites,Mutton Biryani Roti,North Indian South Indian,400
4.2/5,Whitefield,Pub Microbrewery,Beer Chicken Tikka Cosmopolitan Burgers Cocktails Mocktails Pudding,British Continental BBQ,1600
3.6/5,ITPL Main Road Whitefield,Cafe,Burgers Pasta Alfredo Pulled Pork Burger Pizza,Cafe Burger Italian Salad,1000
3.8/5,Whitefield,Casual Dining,Noodles Andhra Meal,Andhra North Indian Chinese Biryani,550
4.5/5,Brookefield,Quick Bites,Rolls Noodles Mughlai Paratha Paneer Kathi Roll Veg Manchow Soup Crispy Chicken Chicken Manchurian,Rolls Chinese,250
3.5/5,Whitefield,Delivery,Lemon Rice,South Indian,600
2.8/5,Whitefield,Food Court,Momos Chop Suey,Chinese Momos,500
4.3/5,Whitefield,Cafe,Burgers Waffles Chocolava Coffee Pasta Chocolate Cake Brownie,Cafe Italian Fast Food Desserts,550
3.5/5,Brookefield,Food Court,Biryani Combo,Andhra North Indian Chinese Biryani,500
4.1/5,Whitefield,Pub,Cocktails Wheat Beer Bruschettas Pasta Burgers Supreme Pizza Nachos,Finger Food North Indian Chinese Italian,1400
4.0/5,Whitefield,Casual Dining,Biryani Gulab Jamun Pav Bhaji,North Indian Fast Food Street Food,800
3.6/5,Whitefield,Quick Bites,Thali Biryani Aloo Paratha,North Indian,300
3.1/5,Whitefield,Dessert Parlor Quick Bites,Waffles Coffee Pizza Burgers Hot Chocolate Brownie Fries,Desserts Cafe,600
4.1/5,Whitefield,Pub,Cocktails Beer Long Island Iced Tea Pasta Chicken Satay Lamb Burger Onion Rings,Asian American Mexican,1200
3.7/5,Whitefield,Quick Bites,Paneer Biryani,Biryani Chinese Fast Food,400
2.6/5,Whitefield,Food Court,Chaat Chole Bhature Lassi Paratha Chhole Bhature Panipuri Raj Kachori,North Indian Street Food,600
3.4/5,Brookefield,Quick Bites,Fish Veg Thali Biryani,Bengali North Indian Chinese,400
3.3/5,Whitefield,Food Court,Garlic Bread Pasta Cheesy Pizza,Pizza,500
3.3/5,Brookefield,Pub Casual Dining,Beer Pasta Pepper Chicken Cocktails Onion Rings Mocktails Supreme Pizza,Continental North Indian Chinese,1500
3.1/5,Whitefield,Delivery,Paneer Curry Sandwiches Dal Makhani Rice Bowl Butter Chicken Box Cheese Paratha Panneer Butter Masala,North Indian Fast Food,500
3.7/5,Whitefield,Quick Bites,Lassi Paratha Paneer Bhurji,North Indian,450
3.9/5,Whitefield,Dessert Parlor,Coffee Hot Chocolate Raspberry Sorbet Cheesecake Ice Cream Chocolate Sundae,Desserts Ice Cream,800
4.0/5,Whitefield,Bakery,Cup Cake Brownie,Bakery Fast Food,150
3.9/5,Whitefield,Lounge Bar,Pasta Fish Beer Chicken Wings Mocktails Gulab Jamun Lunch Buffet,Continental Chinese,1000
3.1/5,Brookefield,Casual Dining,Thali Chilli Chicken Chicken Curry Andhra Meal Vegetable Biryani,Andhra Chinese North Indian Biryani,600
2.7/5,Whitefield,Quick Bites,Chicken Grill Chicken Tikka Roll Grape Juice Biryani Shawarma Roll Tandoori Chicken Tandoori Raan,North Indian Chinese,300
3.1/5,Whitefield,Casual Dining,Manchurian Chop Suey Chilli Paneer Hunan Chicken,Chinese,650
3.4/5,Whitefield,Quick Bites,Panneer Butter Masala Lassi,North Indian,300
3.6/5,Whitefield,Quick Bites,Chole Bhature Paratha,North Indian,200
3.5/5,Whitefield,Casual Dining,Butter Naan French Fries,North Indian,500
3.9/5,Whitefield,Casual Dining,Kulcha Chole Bhature Chaat Paneer Tikka Masala Coffee,South Indian North Indian Chinese,700
3.7/5,Whitefield,Quick Bites,Paratha,North Indian Chinese,300
4.0/5,Brookefield,Quick Bites,Waffles Burgers Pizza Tea,Fast Food Continental Desserts,450
4.0/5,Whitefield,Casual Dining,Chicken Satay Chicken Chettinad Sea Food Salads Pumpkin Soup Chicken Soup Mousse,Continental Asian,1500
2.8/5,Whitefield,Quick Bites,Appam Egg Curry,South Indian North Indian Chinese Kerala,400
2.7/5,Brookefield,Quick Bites,Paratha,North Indian,150
3.6/5,KR Puram,Quick Bites,Biryani Shawarma,North Indian Chinese Street Food,300
3.6/5,Whitefield,Casual Dining,Pasta Noodles Brownie Chicken Steak Salad Potato Wedges Paneer Shashlik,Continental North Indian Chinese BBQ,800
4.2/5,Whitefield,Casual Dining,Misal Pav Mutton Fry Malwani Food Mutton Thali Chicken Fry Sabudana Vada Chicken Handi,Maharashtrian Seafood,700
4.1/5,Whitefield,Cafe,Sandwiches Club Chicken Sandwich Pizza White Sauce Pasta Coffee Tomato Basil Pasta Garlic Bread,Cafe,700
4.0/5,Whitefield,Casual Dining,Noodle Momos Manchow Soup,Chinese Thai Momos,900
3.7/5,Whitefield,Quick Bites,Paratha,North Indian,200
3.9/5,Whitefield,Quick Bites,Mutton Curry Kulcha Biryani Chicken Curry,Chinese North Indian Rajasthani Gujarati Fast Food Afghan,350
3.9/5,Whitefield,Casual Dining,Dal Kichadi Gulab Jamun Buttermilk Aamras Grand Thali Dhokla Jalebi,Rajasthani Gujarati North Indian,900
3.9/5,Whitefield,Casual Dining,Salads Naan Lunch Buffet Dal Halwa,North Indian,1200
3.3/5,Brookefield,Casual Dining,Chicken Grill Masala Papad Shawarma Mutton Kosha Paratha Kalmi Kebab Gulab Jamun,Chinese North Indian Biryani Juices,750
4.0/5,Whitefield,Casual Dining,Biryani,Andhra Biryani North Indian,700
3.6/5,Whitefield,Casual Dining,Chicken Biryani Mutton Biryani Hyderabadi Biryani Vegetable Biryani,Biryani North Indian Chinese,700
3.4/5,Whitefield,Casual Dining,Thali Manchurian Chicken Keema Chicken Biryani Butter Chicken Paneer Mirch Masala Naan,North Indian Chinese Biryani,500
4.0/5,Whitefield,Dessert Parlor,Panipuri Guava Ice Cream,Ice Cream Desserts,200
3.7/5,Whitefield,Casual Dining,Biryani Tandoori Chicken Curd Rice Kalmi Kebab Chilli Chicken Chicken Tikka Masala,North Indian Chinese,600
3.9/5,Whitefield,Casual Dining,Salmon,Asian Continental North Indian Italian,2000
3.7/5,Whitefield,Food Court,Rice Paratha Chicken Tikka Biryani Tandoori Chicken Lassi Dal Makhani Punjabi Veg Thali,North Indian,700
3.9/5,Whitefield,Casual Dining,Pepper Chicken Hyderabadi Biryani Chicken Lollipop Mutton Biryani Chicken Biryani Vegetable Noodles Paneer Tikka Masala,Biryani North Indian Chinese Seafood,800
3.6/5,Whitefield,Delivery,Chicken Curry,Andhra North Indian,200
3.7/5,Whitefield,Quick Bites,Lassi Chaat Chole Bhature Jalebi Panipuri Thali Paratha,North Indian Street Food,300
3.8/5,Whitefield,Bar Casual Dining,Beer Chicken Guntur Paneer Tikka Fish Noodles Cocktails Gulab Jamun,North Indian Continental Mediterranean,1200
3.6/5,Whitefield,Quick Bites,Butter Naan Kulcha Paratha Butter Chicken Shawarma Roti Thali,Chinese North Indian,400
3.0/5,Whitefield,Quick Bites,Thali Jowar Roti Brinjal Curry Coffee Buttermilk Salad Akki Rottis,North Indian South Indian Chinese,500
4.1/5,Whitefield,Casual Dining,Fish Prawn Malai Curry Mishti Doi Biryani Dhokar Dalna Mutton Kosha Malpua,Bengali Seafood,750
4.2/5,Whitefield,Casual Dining,Kadhai Murgh Lassi Rabri Mutton Biryani Malpua Chaat Dal Makhani,North Indian Maharashtrian South Indian,1000
4.0/5,Whitefield,Casual Dining,Mutton Biryani Hyderabadi Biryani Chicken Biryani Bamboo Chicken Bbq Chicken Vegetable Biryani Tandoori Roti,Hyderabadi Andhra North Indian Chinese South Indian,800
4.1/5,Whitefield,Casual Dining,Caesar Salad Khao Suey Veggie Pizza Beef Steak Pasta Peri Peri Chicken Pizza Mousse,Japanese Italian American Asian North Indian Steak,1400
3.1/5,Whitefield,Quick Bites,Rolls Momos Fries Chicken Manchurian Roll,Fast Food Rolls Momos,300
4.2/5,Brookefield,Casual Dining,Egg Biryani Dum Ka Chicken Roti Butter Chicken Fried Fish Butter Naan Mutton Biryani,South Indian Biryani,800
3.5/5,Whitefield,Casual Dining,Raita Paneer Biryani,Biryani North Indian Chinese,800
4.2/5,Whitefield,Casual Dining,Paratha Matka Lassi Rabri Puri Sabzi Masala Soda Chaach Veg Kolhapuri,North Indian,800
3.5/5,Whitefield,Quick Bites,Chicken Grill Dal Fry Arabian Grape Juice Rumali Roti Shawarma Roll,North Indian Mughlai Chinese,350
2.9/5,ITPL Main Road Whitefield,Casual Dining,Butter Chicken Chicken Tikka Masala Paneer Tikka Masala Sweet Lassi,North Indian,500
4.0/5,Whitefield,Takeaway Delivery,Rolls Butter Chicken Roll Malai Tikka Mutton Seekh Chicken Tikka Bhuna Gosht Butter Paneer,Fast Food North Indian Rolls,350
3.1/5,Whitefield,Quick Bites,Roti Dal Tadka,North Indian Mughlai Chinese,400
3.9/5,Whitefield,Food Court Quick Bites,Rice Bowl Nachos Rice Bowls California Burrito Burrito Bowl Salads Tacos,Mexican Fast Food,400
3.9/5,Whitefield,Quick Bites,Rice Paratha Thali,North Indian,350
4.2/5,Whitefield,Casual Dining,Mushroom Soup Faluda Paratha Banana Fritters Fruit Juices Kerala Parotta Murgh Ghee Roast,Kerala,1000
4.0/5,Whitefield,Casual Dining,Crispy Thread Paneer Hakka Noodles Momos Clear Soup Prawn Mocktails Chilli Chicken,Chinese Momos,1400
3.9/5,Brookefield,Casual Dining,Palak Paneer Chicken Boneless Biryani Tandoori Chicken Butter Naan Buttermilk Dal Fry Roti,North Indian South Indian Chinese Andhra Biryani,750
3.7/5,Whitefield,Casual Dining Cafe,Saffron Kahwa Phirni Mutton Kanti Tea Tabakh Maaz Mutton Roganjosh Meat Balls,Kashmiri Cafe,1100
4.2/5,Brookefield,Casual Dining,Lassi Malai Kebab Kadhai Mushroom Lahori Chicken Chicken Keema Paneer Kofta Panneer Butter Masala,North Indian,800
3.9/5,Whitefield,Dessert Parlor Quick Bites,Pasta Burgers Thick Shakes Sunday Brunch Apple Pie Waffles Sandwiches,Desserts,600
3.8/5,Whitefield,Quick Bites,Beef Fry Appam Chicken Curry Kerala Parotta Idiyappam Egg Curry Biryani,Kerala Chinese North Indian,350
4.3/5,Whitefield,Casual Dining,Singapore Noodles Kung Pao Chicken Mixed Fried Rice Corn Fritters Wonton Clear Soup Fish,Chinese Seafood,1100
3.7/5,Brookefield,Casual Dining,Chicken Manchow Soup Lime Soda Clear Soup Spring Roll Momos Veg Manchurian Chilli Potatoes,Chinese Seafood Momos,750
4.1/5,Whitefield,Casual Dining Cafe,Masala Chaach Dal Makhani Pasta Wood Fire Pizza Sweet Lassi Bharwan Mushroom Paneer Tikka Masala,Cafe Italian Pizza North Indian,900
3.8/5,Whitefield,Quick Bites,Lassi Paratha Chaach Chole Bhature Thali,North Indian Fast Food,400
3.8/5,Whitefield,Casual Dining,Murgh Kalimirch Panneer Butter Masala Rolls Butter Naan Butter Chicken Malai Tikka Phirni,North Indian Mughlai,700
4.7/5,Whitefield,Casual Dining,Jumbo Prawns Tai Pai Chicken Singapore Noodles Wine Chilli Chicken Cocktails Chicken Dim Sum,Chinese,1700
3.8/5,Whitefield,Delivery,English Breakfast French Fries Burgers Pancakes Corn Sandwich Chicken Burger Bacon Fry,American Sandwich,600
2.9/5,Whitefield,Casual Dining,Andhra Meal Andhra Style Chilli Chicken Chicken Biryani Chicken Guntur,North Indian,600
4.1/5,Whitefield,Casual Dining,Tomato Soup Biryani Dal Maharaja Shikanji Garlic Naan Paratha,North Indian Biryani,1200
3.5/5,Whitefield,Casual Dining,Salads Gulab Jamun Breakfast Buffet Fish Lunch Buffet French Toast Chicken Wings,North Indian Continental Chinese South Indian,800
3.6/5,Whitefield,Quick Bites,Dal Makhani Reshmi Kebab Thali Panneer Butter Masala Naan Masala Papad,North Indian Mughlai Chinese,350
4.0/5,Whitefield,Casual Dining,Thali Jalebi Dahi Vada Chaat Buttermilk Rabri Malpua Kadhi,Hyderabadi Gujarati Maharashtrian,1000
3.6/5,Brookefield,Quick Bites,Paratha Tandoori Chicken Panneer Butter Masala Chole Bhature,North Indian Chinese,300
2.5/5,Whitefield,Quick Bites,Rice Mutton Biryani Chicken Biryani Haleem Vegetable Biryani Hyderabadi Biryani Chicken Guntur,Biryani North Indian,500
3.9/5,Whitefield,Cafe,Sandwich Pancakes Garlic Bread Coffee Nachos Pasta Alfredo Wine,Cafe Continental Chinese,700
3.9/5,Whitefield,Casual Dining,Fish Curry Chicken Curry,Bengali,500
3.7/5,Whitefield,Casual Dining,Paneer Biryani Ragi Mudde Tangdi Kabab Pot Biryani Mutton Fry Andhra Style Biryani Hyderabadi Biryani,Andhra Biryani North Indian Chinese,650
3.1/5,Whitefield,Casual Dining,Hyderabadi Chicken Chicken Biryani Hyderabadi Biryani Andhra Biryani,Andhra North Indian Biryani,700
2.9/5,Whitefield,Kiosk,Rolls Tandoori Chicken Paratha,Chinese Fast Food,300
3.9/5,Whitefield,Quick Bites,Veg Tandoori Momos Keema Pav Butter Chicken Pav Bhaji Rolls Galauti Kebab Achari Paneer,North Indian Rolls,300
3.4/5,Brookefield,Casual Dining,Hyderabadi Biryani,North Indian Biryani Chinese Mughlai,500
3.7/5,Whitefield,Casual Dining,Breads Cappuccino Cheesecake,Continental,600
3.6/5,Whitefield,Quick Bites,Thali Biryani,North Indian Chinese,400
3.4/5,Whitefield,Delivery,Gongura Chicken Biryani,Andhra South Indian North Indian Biryani,400
2.6/5,Whitefield,Food Court,Chaat Gulab Jamun Raj Kachori Chole Bhel Puri Biryani Veg Thali,North Indian,400
3.2/5,Whitefield,Casual Dining,Biryani Paratha Tandoori Chicken Butter Chicken Dal Makhani,North Indian,450
4.0/5,Whitefield,Takeaway Delivery,Rabri Shahi Tukda Paratha Fruit Custard Kheer Malpua Wings,North Indian Chinese Biryani,450
4.2/5,Whitefield,Casual Dining,Wheat Beer Cocktails Singapore Noodles Mushroom Dumpling Dumplings Spring Roll Pork Ribs,Asian,1500
3.0/5,Whitefield,Casual Dining,Raita Lassi Appam Halwa,South Indian,1200
3.8/5,Whitefield,Casual Dining,Lassi Hyderabadi Biryani Tandoori Chicken Lemon Chicken Chicken Dum Biryani Prawn Biryani Boneless Biryani,Biryani Hyderabadi Andhra North Indian,800
3.7/5,Whitefield,Quick Bites,Paratha Thali,North Indian Chinese Street Food Sandwich,400
3.1/5,Whitefield,Delivery,Chicken Kolhapuri Biryani,North Indian Chinese Mughlai,500
3.5/5,Whitefield,Casual Dining,Breakfast Buffet Paratha Rice,North Indian Chinese South Indian Continental,1100
2.8/5,Whitefield,Quick Bites,Dal Makhani Thali Shahi Paneer,North Indian,500
2.6/5,Whitefield,Casual Dining,Chicken Guntur Andhra Meal Chicken Tikka Masala Chicken Biryani Hyderabadi Biryani Dum Biryani Lime Soda,North Indian Chinese Biryani Andhra,800
4.2/5,Whitefield,Casual Dining,Rasgulla Dal Bati Rajasthani Thali Kachori Churma Jal-jeera Rasmalai,Rajasthani,800
3.1/5,Whitefield,Quick Bites,Dum Biryani,North Indian Chinese Biryani Seafood,600
3.6/5,Whitefield,Quick Bites,Chai,North Indian Street Food,400
3.2/5,Brookefield,Casual Dining,Chicken Lollipop Idiyappam Chicken Biryani Fried Rice Roti Kerala Parotta Pepper Chicken,Mughlai Chinese Kerala,600
3.8/5,Whitefield,Delivery,Cup Cake Chocolate Truffle,Desserts,300
3.8/5,Brookefield,Casual Dining Bar,Lemon Chicken Egg Curry Malai Kofta Veg Starter Biryani Paneer Tikka Gajar Ka Halwa,North Indian,750
3.8/5,Whitefield,Casual Dining,Butter Chicken Lassi Thali Dal Makhani Mutton Roganjosh Paneer Tikka Malai Kofta,North Indian Mughlai,800
3.2/5,Brookefield,Casual Dining,Appam Buttermilk Idiyappam Kerala Parotta Chicken Curry Paratha Roast Beef,Kerala Chinese,500
3.8/5,Whitefield,Casual Dining,Deluxe Thali Mango Lassi Hara Bhara Kebab Jumbo Lassi Jal-jeera Amritsari Paneer Gulab Jamun,Chinese North Indian,900
3.6/5,Whitefield,Casual Dining,Paneer Tikka Masala Hyderabadi Chicken Biryani,North Indian Chinese Andhra Biryani,700
4.0/5,Whitefield,Casual Dining,Sea Food Murgh Ghee Roast Chicken Handi,Chinese North Indian Mangalorean,600
2.8/5,Whitefield,Casual Dining,Chicken Steak Cheese Balls,Continental Italian Pizza,700
4.0/5,Whitefield,Casual Dining,Appam Risotto Gulab Jamun Halwa Fish Vegetable Stew Tiramisu,Italian North Indian,1000
4.1/5,Whitefield,Takeaway Delivery,Chocolate Popcorn,Fast Food,500
4.3/5,Whitefield,Casual Dining Pub,Beer Cocktails Burgers Chicken Nachos Mocktails Stout Margarita,European American,1700
3.6/5,Whitefield,Quick Bites,Pasta,North Indian Chinese,500
3.3/5,Whitefield,Casual Dining,Buttermilk Chicken Biryani Lassi Tandoori Chicken Bamboo Biryani Mutton Biryani Vegetable Biryani,North Indian Mughlai Andhra Biryani,1000
3.8/5,Whitefield,Quick Bites,Burgers Chicken Roll Rolls Fries Wings Tandoori Momos Chicken Grill,North Indian Fast Food Burger BBQ,450
3.5/5,Whitefield,Casual Dining,Chicken Biryani,Biryani Andhra,800
4.5/5,Whitefield,Cafe Dessert Parlor,Pizza Cheesecake Burgers Pasta Waffles Veg Burger Chocolate Cake,American Cafe Continental French Burger Mexican Desserts Pizza,900
4.3/5,Whitefield,Cafe,Burgers Waffles Chocolava Coffee Pasta Chocolate Cake Brownie,Cafe Italian Fast Food Desserts,550
4.2/5,Whitefield,Bakery Cafe,Pizza Cheesecake Pasta Risotto Chicken Burger Sandwich Hot Chocolate,Bakery Cafe Italian Desserts,600
4.5/5,Whitefield,Food Court,Hot Chocolate Fudge Fudge Cake Apple Pie Thick Shakes,Ice Cream Desserts,400
4.6/5,Whitefield,Dessert Parlor,Cappuccino Coffee Hot Chocolate Mango Waffles Nutella Waffle Belgium Waffles Chocolate Waffles,Desserts,400
4.3/5,Whitefield,Dessert Parlor Cafe,Burgers Paan Ice Cream Butter Chicken Pizza Peri Peri Chicken Burger Caramel Custard Cheesecake Hot Chocolate,Ice Cream Cafe Pizza Burger Desserts Beverages,500
